Item_Barcode,Call_Number,Catalog_Title,Catalog_Author,Created_Date,Last_Activity,Total_Charges
2.04091E+14,LT BLAC,One final breath /,"BlacBurn, Lynn Huggins,",4/12/2021,1/1/1900,0
2.04091E+14,LT GULL,A gathering in Hope /,"Gulley, Philip,",1/24/2017,10/16/2020,11
2.04091E+14,LT MOSE,Time lottery /,"Moser, Nancy.",6/12/2003,10/10/2017,27
2.04091E+14,LT MULF,The man from bar-20 : a Hopalong Casssidy novel /,"Mulford, Clarence Edward,",2/20/2014,7/7/2020,18
2.04091E+14,LT MYER,Blood of heaven /,"Myers, Bill,",7/1/1999,4/7/2017,19
2.04091E+14,LT O'CA,The granny /,"O'Carroll, Brendan,",10/18/2018,1/1/1900,0
2.04091E+14,LT PATT,In the name of honor /,"Patterson, Richard North.",7/29/2010,11/30/2017,24
2.04091E+14,LT STEE,The sins of the mother : a novel /,"Steel, Danielle",11/6/2012,12/18/2018,37
2.04091E+14,LT BLAC,In too deep /,"BlacBurn, Lynn Huggins,",3/24/2021,1/1/1900,0
2.04091E+14,LT BLY,Paperback writer /,"Bly, Stephen A.,",9/17/2004,9/30/2020,24
2.04091E+14,LT BOLI,The lost history of stars /,"Boling, Dave,",9/28/2017,2/16/2018,6
2.04091E+14,LT BRET,Laced with magic /,"Bretton, Barbara,",7/20/2021,1/1/1900,0
2.04091E+14,LT GODW,Grief cottage /,"Godwin, Gail,",6/29/2017,9/30/2020,7
2.04091E+14,LT GOUD,Woman in red /,"Goudge, Eileen.",1/16/2008,10/16/2020,45
2.04091E+14,LT GRAH,Captive /,"Graham, Heather",5/6/2004,9/30/2020,43
2.04091E+14,LT GREE,Death at Victoria dock : a Phryne Fisher mystery /,"Greenwood, Kerry,",11/9/2007,10/16/2017,13
2.04091E+14,LT STEV,Just mercy : adapted for young adults : a true story of the fight for justice /,"Stevenson, Bryan",1/18/2022,1/1/1900,0
2.04091E+14,LT SZAL,All that man is /,"Szalay, David",9/19/2017,9/30/2020,3
2.04091E+14,LT TROL,The soldier's wife /,"Trollope, Joanna.",7/18/2012,1/21/2021,22
2.04091E+14,LT ABRA,End of story /,"Abrahams, Peter,",11/9/2007,10/16/2020,15
2.04091E+14,LT BARR,Jane and the genius of the place /,"Barron, Stephanie",9/13/2000,1/23/2021,35
2.04091E+14,LT FFOR,Shades of grey : the road to High Saffron /,"Fforde, Jasper",4/20/2010,8/27/2017,7
2.04091E+14,LT HAMI,Tabloid city : a novel /,"Hamill, Pete,",7/20/2021,1/1/1900,0
2.04091E+14,LT HANN,Chasing the white lion /,"Hannibal, James R.",7/12/2021,1/1/1900,0
2.04091E+14,LT TROL,The other family /,"Trollope, Joanna.",8/5/2010,1/21/2021,19
2.04091E+14,LT YORK,Star struck dead : a Lauren Atwill mystery /,"York, Sheila",6/14/2021,1/1/1900,0
2.04091E+14,LT MICH,Razor sharp /,"Michaels, Fern,",10/20/2009,8/24/2020,21
2.04091E+14,LT MICH,Exclusive/,"Michaels, Fern,",9/28/2010,8/24/2020,35
